,author_id,author
514,515,Robin Waterfield/John Grisham
515,516,Rodman Philbrick
516,517,Rohinton Mistry
517,518,Ron Chernow
518,519,Rosamunde Pilcher
519,520,Rudyard Kipling
520,521,Rudyard Kipling/Alev Lytle Croutier
521,522,Rumiko Takahashi
522,523,Ruth Stiles Gannett
523,524,Salman Rushdie
524,525,Sam Harris
525,526,Sandra Boynton
526,527,Sara Gruen
527,528,Sarah Dessen
528,529,Sarah Dunant
529,530,Scott Turow
530,531,Scott Westerfeld
531,532,Sebastian Faulks
532,533,Sena Jeter Naslund
533,534,Shel Silverstein
534,535,Sidney Sheldon
535,536,Sophie Kinsella
536,537,Sophocles/J.E. Thomas
537,538,Sophocles/Robert Fitzgerald/Dudley Fitts
538,539,Spencer Johnson/Kenneth H. Blanchard
539,540,Stephen E. Ambrose
540,541,Stephen Hawking
541,542,Stephen King
542,543,Stephen King/Bernie Wrightson
543,544,Stephen King/Bernie Wrightson/Michele Wrightson
544,545,Stephen King/Bettina Blanch Tyroller
545,546,Stephen King/Jerry N. Uelsmann
546,547,Stephen King/Marie Milpois
547,548,Stephen King/Ned Dameron
548,549,Stephen King/Peter Straub
549,550,Stephen King/Robin Waterfield
550,551,Stephen King/William Olivier Desmond/Maria Teresa Marenco
551,552,Stephen R. Covey/A. Roger Merrill/Rebecca R. Merrill
552,553,Stephen R. Covey/Jim Collins
553,554,Stephenie Meyer
554,555,Steve Martin
555,556,Steven D. Levitt/Stephen J. Dubner
556,557,Steven Johnson
557,558,Steven Pressfield/Robert McKee
558,559,Sue Miller
559,560,Sue Monk Kidd
560,561,Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan
561,562,Susan Hill/John Lawrence
562,563,Sylvia Nasar
563,564,T.H. White
564,565,T.S. Eliot/Michael North
565,566,Tad Williams
566,567,Tamora Pierce
567,568,Teddy Slater/Ron Dias/Ric González
568,569,Tennessee Williams
569,570,Terry Goodkind
570,571,Terry Pratchett
571,572,Tess Gerritsen
572,573,Theo LeSieg/Dr. Seuss/Roy McKie
573,574,Theodore Taylor
574,575,Thomas  Harris
575,576,Thomas Cahill
576,577,Thomas Hardy/Alexander Theroux
577,578,Thomas Hardy/Rosemarie Morgan/Shannon Russell
